fid,DN,ZS_Coastlinecount,ZS_Coastlinesum,ZS_Coastlinemean
"533","2",6,7358.00817871094,1226.33469645182
"534","2",0.937890000094806,1310.09240542232,1396.85080903933
"536","2",0.93789000009675,2053.77237848014,2189.77958851068
"538","2",8,20314.7114257812,2539.33892822266
"540","2",0.93789000009675,2923.04362079962,3116.61668265797
"541","2",3,3074.11047363281,1024.70349121094
"542","2",0.937890000081199,219.577393071271,234.118492629477
"543","2",2,2815.49206542969,1407.74603271484
"544","2",2,6153.85498046875,3076.92749023438
"546","2",0.93789000009675,626.81435608687,668.323956990915
"547","2",0.93789000009675,8.17301871007795,8.71426149040382
"548","2",0.937890000094806,379.537210077517,404.671347427898
"549","2",0.93789000009675,449.136458222287,478.879674776312
"550","2",0.93789000009675,1204.3354242716,1284.09027087117
"551","2",0.93789000009675,1347.49732515414,1436.73279917169
"552","2",2,3156.79223632812,1578.39611816406
"553","2",2,3300.609375,1650.3046875
"556","2",2,4474.8046875,2237.40234375
"557","2",44,105145.452392578,2389.66937255859
"558","2",2,5568.10302734375,2784.05151367188
"559","2",0.937890000094806,2817.47686145686,3004.05896338809
"560","2",0.93789000009675,2913.83570321543,3106.79898806347
"562","2",0.93789000009675,890.346861980542,949.30840705061
"564","2",2,879.313995361328,439.656997680664
"565","2",2,2478.04467773438,1239.02233886719
"566","2",6,10223.5740966797,1703.92901611328
"568","2",0.937890000094806,2749.25270539617,2931.31679100776
"569","2",2,6056.02880859375,3028.01440429688
"570","2",0.937890000079256,1137.40702343751,1212.72966269114
"571","2",2,2230.77600097656,1115.38800048828
"573","2",0.937890000081199,855.713643428091,912.381668803384
"574","2",0.937890000079256,608.289634349256,648.572470436675
"575","2",0.937890000081199,55.3125908088073,58.9755630234021
"577","2",0.937890000081199,1081.34438278635,1152.95437918384
"578","2",0.937890000081199,1115.52088589136,1189.39415687851
"579","2",0.937890000081199,1290.01011301066,1375.43860463271
"580","2",3,7292.15649414062,2430.71883138021
"581","2",2,5054.46044921875,2527.23022460938
"582","2",0.937890000081199,2646.8376350037,2822.11947539109
"583","2",0.937890000081199,2696.29744648923,2874.85466979688
"586","2",4,911.560989379883,227.890247344971
"587","2",10,17045.0692138672,1704.50692138672
"589","2",6,1930.00952148438,321.668253580729
"591","2",1.87578000017795,3011.22482566751,1605.31876093244
"593","2",5,9429.73693847656,1885.94738769531
"594","2",3,9153.4873046875,3051.16243489583
"595","2",2,2153.27404785156,1076.63702392578
"596","2",0.93789000009675,111.880341282835,119.289406296361
"597","2",0.93789000009675,595.839869938062,635.29824379895
"598","2",205,194587.379333496,949.206728456079
"600","2",8,8964.27563476562,1120.5344543457
"605","2",2,5543.90209960938,2771.95104980469
"606","2",0.937890000094806,1160.88346550539,1237.76078792614
"607","2",0.937890000094806,772.613448561029,823.778319934033
"608","2",4,70.0121917724609,17.5030479431152
"609","2",0.937890000094806,121.87041410518,129.941052887717
"610","2",0.937890000094806,333.578955419459,355.66959386041
"611","2",2,806.610107421875,403.305053710938
"612","2",0.93789000009675,956.876422081121,1020.2437620429
"613","2",0.93789000009675,1088.52468054971,1160.61017863228
"614","2",0.93789000009675,1266.96566265638,1350.86807890657
"617","2",0.93789000009675,1943.49532989979,2072.19964995821
"618","2",3,6467.1328125,2155.7109375
"619","2",0.937890000094806,2539.48075341174,2707.65308634812
"620","2",0.937890000081199,1219.70954626632,1300.48251517845
"621","2",2,1297.95697021484,648.978485107422
"622","2",0.937890000081199,135.024858662339,143.966625777702
"623","2",4,5027.96789550781,1256.99197387695
"624","2",2,2680.16198730469,1340.08099365234
"625","2",0.937890000081199,1520.91019651099,1621.62961155286
"626","2",2,3497.55322265625,1748.77661132812
"628","2",0.937890000079256,2116.49844611455,2256.65957194948
"629","2",0.937890000081199,2148.71421660689,2291.0087712001
"630","2",3,7036.07495117188,2345.35831705729
"631","2",0.937890000081199,2375.42405333541,2532.73204014304
"632","2",0.937890000081199,2502.49443276105,2668.21741626885
"633","2",2,5952.11083984375,2976.05541992188
"634","2",0.937890000094806,1114.06131507672,1187.8379287167
"635","2",0.93789000009675,889.544451868636,948.452858839387
"636","2",0.93789000009675,749.460791876607,799.092422138305
"637","2",0.93789000009675,145.613439218633,155.256415148485
"638","2",11,12487.3333740234,1135.21212491122
"639","2",0.93789000009675,1451.9739527002,1548.12819472477
"640","2",0.937890000094806,1515.94103163245,1616.33137305996
"642","2",0.93789000009675,2032.87833941411,2167.50188103552
"643","2",0.937890000094806,2370.3205944198,2527.29061423002
"645","2",3,7799.13159179688,2599.71053059896
"646","2",0.93789000009675,2532.33659953491,2700.03582432234
"648","2",0.937890000094806,2724.82786490482,2905.27446142872
"649","2",0.93789000009675,1219.69638031413,1300.4684773143
"650","2",0.937890000094806,479.397224632697,511.14440348467
"651","2",0.93789000009675,435.131270478834,463.947019835958
"652","2",0.93789000009675,326.02829464465,347.618904787361
"653","2",34,6079.85009765625,178.819120519301
"655","2",6,1225.17311096191,204.195518493652
"656","2",0.93789000009675,252.141982756995,268.839610968221
"657","2",0.93789000009675,1284.9353318501,1370.02775561905
"658","2",0.937890000094806,1397.59848778186,1490.15181699409
"659","2",4,7098.4453125,1774.611328125
"660","2",0.93789000009675,2364.54361017934,2521.13106007679
"661","2",2,5287.66455078125,2643.83227539062
"663","2",2,622.803131103516,311.401565551758
"664","2",0.937890000094806,245.828688778447,262.108230979749
"665","2",2,712.5751953125,356.28759765625
"666","2",2,2862.87329101562,1431.43664550781
"668","2",3,4652.13110351562,1550.71036783854
"669","2",0.937890000094806,1552.76993091823,1655.59919687945
"670","2",0.93789000009675,1619.72075179917,1726.98370985093
"672","2",2,5095.20947265625,2547.60473632812
"673","2",8,21838.0322265625,2729.75402832031
"674","2",0.937890000079256,1152.96547964085,1229.31844837179
"675","2",0.937890000081199,925.932182003839,987.250297927982
"676","2",0.937890000079256,372.483987030398,397.151037967056
"678","2",2,392.534088134766,196.267044067383
"679","2",0.937890000081199,391.760891086313,417.704518709439
"680","2",3,3642.81420898438,1214.27140299479
"681","2",0.937890000081199,1340.62286405966,1429.40308985445
"682","2",0.937890000081199,1389.34452365526,1481.35124965078
"683","2",0.937890000081199,1468.72527513652,1565.98884198505
"685","2",0.937890000079256,1808.30289990515,1928.05435579049
"686","2",0.93789000009675,408.248097941958,435.283559798957
"687","2",0.93789000009675,150.330850363702,160.28622796724
"688","2",0.93789000009675,188.313284313262,200.78397711228
"689","2",0.937890000094806,1252.17295778098,1335.09575499728
"690","2",0.93789000009675,1400.13301015617,1492.85418333891
"691","2",0.93789000009675,1494.4756700503,1593.44450830708
"692","2",0.937890000094806,2284.86136788204,2436.17201127112
"693","2",0.93789000009675,2432.49520569744,2593.58262210548
"697","2",13,714.86279296875,54.9894456129808
"698","2",217,429439.473266602,1978.98374777236
"699","2",2,2178.90283203125,1089.45141601562
"700","2",0.93789000009675,973.649076786069,1038.12715423518
"701","2",4,1052.39169311523,263.097923278809
"702","2",2,146.87035369873,73.4351768493652
"703","2",0.93789000009675,894.689053702979,953.93815224673
"704","2",0.937890000094806,2216.73940189463,2363.53879630932
"705","2",0.937890000094806,2395.59826085194,2554.24224654254
"706","2",2,2960.44970703125,1480.22485351562
"707","2",3,3811.33264160156,1270.44421386719
"708","2",0.937890000081199,314.139875448796,334.943197412915
"710","2",0.937890000081199,188.389408306241,200.865142276739
"711","2",0.937890000081199,339.769317947821,362.269901500607
"712","2",0.937890000081199,471.464356263042,502.686195846234
"713","2",2,1757.70324707031,878.851623535156
"714","2",0.937890000081199,1100.46737865909,1173.34375946413
"715","2",0.937890000081199,1487.84267854552,1586.37225945123
"716","2",0.937890000081199,2309.26815422815,2462.19509113885
"717","2",2,2386.6865234375,1193.34326171875
"718","2",0.937890000094806,193.629083508907,206.451805104367
"719","2",0.937890000094806,336.137369227797,358.39743380761
"720","2",0.93789000009675,390.973694801275,416.865191825207
"721","2",0.93789000009675,501.698883145429,534.922947353821
"722","2",0.937890000094806,742.079552853615,791.222374456069
"723","2",0.93789000009675,837.097621702143,892.532836063707
"724","2",0.937890000094806,867.208963225493,924.638244503973
"725","2",5,5849.20629882812,1169.84125976562
"726","2",0.937890000094806,1141.30191807245,1216.88248937198
"727","2",4,5655.35437011719,1413.8385925293
"728","2",9,13537.2062988281,1504.13403320312
"729","2",7,11489.3223876953,1641.33176967076
"730","2",0.937890000094806,1774.33285904736,1891.83471288531
"731","2",0.937890000094806,2143.27532267318,2285.2096967198
"732","2",0.937890000094806,2272.20380462196,2422.67622470895
"734","2",2,2347.70910644531,1173.85455322266
"735","2",19,3765.6245880127,198.190767790142
"737","2",0.93789000009675,57.1810826585071,60.9677922278822
"738","2",0.937890000094806,3.5251211103927,3.75856562074057
"739","2",0.93789000009675,77.0603557069872,82.1635327160305
"740","2",0.93789000009675,336.012067405121,358.263834106834
"741","2",2,1494.44696044922,747.223480224609
"743","2",0.93789000009675,1154.3447211818,1230.78902756477
"744","2",12,16225.8314208984,1352.1526184082
"746","2",0.937890000094806,1430.80519839299,1525.55757951183
"749","2",0.93789000009675,373.018295408682,397.720729904575
"750","2",0.937890000094806,326.268492136158,347.875008906351
"751","2",0.93789000009675,56.3739260900021,60.1071832349068
"752","2",0.93789000009675,4.41128022059308,4.70340895002401
"753","2",2,425.918395996094,212.959197998047
"754","2",2,712.5751953125,356.28759765625
"755","2",2,918.745086669922,459.372543334961
"756","2",0.93789000009675,487.730605324906,520.029646626569
"757","2",0.937890000094806,698.983176624254,745.272021829423
"758","2",2,1682.33581542969,841.167907714844
"759","2",0.93789000009675,1263.18644545999,1346.83859016483
"760","2",4,6324.66027832031,1581.16506958008
"761","2",4,9305.15991210938,2326.28997802734
"762","2",3,7188.03979492188,2396.01326497396
"763","2",2,2451.45361328125,1225.72680664062
"764","2",0.937890000081199,297.178831521288,316.858940276108
"766","2",2,224.131050109863,112.065525054932
"767","2",3,170.704132080078,56.901377360026
"768","2",0.937890000081199,26.4279030284,28.1780411627291
"769","2",2,1214.39880371094,607.199401855469
"770","2",0.937890000081199,647.819062834237,690.719660917752
"771","2",0.937890000081199,820.446870510727,874.779420230193
"772","2",2,2566.01977539062,1283.00988769531
"774","2",2,4338.90258789062,2169.45129394531
"776","2",0.93789000009675,139.413643435761,148.646049559521
"777","2",2,679.857116699219,339.928558349609
