fid,DN,ZS_trackcount,ZS_tracksum,ZS_trackmean
"194","2",2,84.6518669128418,42.3259334564209
"195","2",3,262.713851928711,87.571283976237
"197","2",0.93789000009675,33.3137698981894,35.5199116045089
"198","2",0.93789000009675,35.9361489827292,38.3159528079222
"199","2",0.937890000094806,74.0662131271027,78.9711086797128
"200","2",0.93789000009675,75.8290866669956,80.8507252014344
"201","2",0.93789000009675,32.1940857980912,34.3260785324186
"202","2",0.937890000094806,33.9487281055184,36.1969187240366
"203","2",0.93789000009675,38.3896899836856,40.931974943464
"204","2",0.93789000009675,37.3079280047846,39.7785753136679
"205","2",0.93789000009675,69.2256013778091,73.8099365284501
"206","2",0.937890000094806,80.7495183445393,86.0970032054685
"207","2",0.93789000009675,85.2015561542079,90.8438688390096
"208","2",27,2542.93531036377,94.1827892727322
"212","2",13,285.356473922729,21.9504979940561
"213","2",2,51.6714305877686,25.8357152938843
"214","2",4,153.516529083252,38.379132270813
"215","2",4,289.895149230957,72.4737873077393
"217","2",0.937890000079255,70.7917759218696,75.4798280351506
"218","2",0.93789000009675,28.9123921631113,30.827060913464
"219","2",2,152.780769348145,76.3903846740723
"221","2",4,65.3456840515137,16.3364210128784
"222","2",5,58.0839033126831,11.6167806625366
"224","2",1.87578000016045,97.0117718546332,51.7180969230586
"225","2",0.937890000081199,72.0522958875883,76.8238235628382
"227","2",40,3350.84623718262,83.7711559295654
"229","2",0.937890000081199,83.5303017774012,89.0619387883115
"230","2",0.93789000009675,31.9692810194327,34.0863864804346
"231","2",0.937890000094806,72.7614223818325,77.57991062329
"234","2",0.93789000009675,87.7225289983704,93.5317883646496
"235","2",2,30.1660423278809,15.0830211639404
"237","2",2,50.9615097045898,25.4807548522949
"238","2",2,75.0061416625977,37.5030708312988
"239","2",0.93789000009675,56.5210949162363,60.2640980396483
"240","2",3,237.940444946289,79.313481648763
"241","2",0.93789000009675,76.0487128523802,81.0848957175524
"243","2",2,60.958568572998,30.479284286499
"244","2",2,64.8376655578613,32.4188327789307
"245","2",0.937890000081199,70.5519812216178,75.2241533820701
"247","2",0.937890000079255,79.358069355762,84.6134081278785
"250","2",0.93789000009675,80.9297278123234,86.289146705877
"252","2",51,301.64075255394,5.91452455988117
"254","2",5,84.7185897827148,16.943717956543
"256","2",4,246.003986358643,61.5009965896606
"260","2",0.93789000009675,70.1106189005044,74.7535626707524
"262","2",0.937890000094806,16.8182321918352,17.931987962485
"263","2",3,73.7802639007568,24.5934213002523
"264","2",0.937890000094806,31.7620470524981,33.8654288341782
"265","2",32,2245.06575012207,70.1583046913147
"267","2",2,25.3184719085693,12.6592359542847
"268","2",4,68.0635280609131,17.0158820152283
"269","2",0.937890000081199,69.7136699804744,74.3303265568871
"270","2",2,28.7944574356079,14.397228717804
"271","2",0.93789000009675,20.749276400153,22.123358174213
"272","2",3,79.4305629730225,26.4768543243408
"273","2",24,1245.44932556152,51.8937218983968
"275","2",0.93789000009675,54.4532308529029,58.0592935709792
"277","2",2,19.3356904983521,9.66784524917603
"278","2",3,35.7555646896362,11.9185215632121
"280","2",2,119.854274749756,59.9271373748779
"282","2",4,389.617652893066,97.4044132232666
"284","2",0.937890000081199,12.3927889153485,13.2134780350313
"285","2",0.937890000079255,21.2807593484009,22.6900375807425
"287","2",0.937890000079255,53.1470641833589,56.6666284733473
"288","2",0.937890000081199,59.3595252185151,63.2904980470801
"289","2",0.937890000081199,69.2031576472826,73.7860065053377
"290","2",0.937890000081199,71.8696358377921,76.6290671950547
"291","2",2,167.110565185547,83.5552825927734
"292","2",0.93789000009675,22.0560817129497,23.5167042091018
"293","2",7,332.537586212158,47.5053694588797
"296","2",0.93789000009675,53.8439417183133,57.4096554102922
"297","2",0.93789000009675,76.9373016685773,82.0323296555467
"300","2",0.93789000009675,93.759445905337,99.9684887307308
"301","2",1.87578000019156,10.7166532542077,5.71317172222397
"302","2",0.937890000094806,11.1485522754186,11.886844165405
"303","2",1.8757800001935,34.0099410036913,18.1310926655487
"304","2",0.937890000094806,48.3291128346135,51.5296173642199
"307","2",0.93789000009675,71.4408649729185,76.1719017854428
"309","2",107,10135.7110977173,94.726271941283
"310","2",15,1203.28734588623,80.2191563924154
"311","2",37,3908.5242767334,105.635791263065
"312","2",3.75156000038505,206.491729435042,55.0415638864493
"314","2",2,204.560585021973,102.280292510986
"315","2",7,22.9554295539856,3.2793470791408
"316","2",3,23.1333255767822,7.71110852559408
"317","2",0.93789000009675,22.5186674523803,24.0099238184194
"318","2",0.93789000009675,57.0770678058122,60.8568891873507
"320","2",2,147.96305847168,73.9815292358398
"321","2",0.937890000094806,77.3883959003916,82.5132967539571
"323","2",4,50.1839532852173,12.5459883213043
"324","2",0.937890000079255,17.8970277354312,19.0822247107005
"327","2",2,173.568313598633,86.7841567993164
"328","2",0.937890000094806,0.130096009189707,0.138711372524023
"329","2",0.93789000009675,6.40647168717403,6.83072821600951
"330","2",4,305.227783203125,76.3069458007812
"331","2",5,492.929824829102,98.5859649658203
"332","2",0.93789000009675,18.3970934280389,19.6154063121913
"333","2",0.937890000094806,76.8224992577007,81.9099246712676
"334","2",0.93789000009675,80.3879922660198,85.7115357427068
"335","2",2,44.6438388824463,22.3219194412231
"337","2",4,291.828712463379,72.9571781158447
"339","2",2,167.705192565918,83.852596282959
"340","2",6,527.798774719238,87.9664624532064
"343","2",0.93789000009675,8.32016223548625,8.87114931881987
"344","2",0.93789000009675,13.5476161195832,14.444781496962
"345","2",0.93789000009675,23.2098453633716,24.7468736855893
"346","2",2,61.8144493103027,30.9072246551514
"347","2",0.93789000009675,75.5974504757262,80.6037493393978
"348","2",0.93789000009675,80.0439939669996,85.3447568038283
"351","2",5,5.65028154850006,1.13005630970001
"352","2",4,29.3239769935608,7.3309942483902
"353","2",2,20.6191873550415,10.3095936775208
"355","2",2,128.4599609375,64.22998046875
"356","2",0.93789000009675,62.9432259507541,67.1115226138045
"358","2",0.937890000094806,73.6471679260713,78.5243129989943
"359","2",0.93789000009675,78.0571177039566,83.2263034000837
"360","2",2,23.771071434021,11.8855357170105
"361","2",0.937890000081199,14.8509783400704,15.8344564274965
"366","2",15,94.4676375389099,6.29784250259399
"367","2",2,7.60555124282837,3.80277562141418
"368","2",3,7,2.33333333333333
"369","2",9,247.555765151978,27.5061961279975
"371","2",4,356.345237731934,89.0863094329834
"373","2",0.93789000009675,7.55889047914661,8.05946377332828
"374","2",2,34.1466293334961,17.073314666748
"376","2",0.93789000009675,61.7233133940551,65.8108236442311
"377","2",0.937890000094806,71.4522632327002,76.1840548736818
"378","2",0.937890000094806,75.8421172099014,80.8646186676849
"379","2",0.93789000009675,1.75685717540171,1.87320173498009
