fid,DN,ZS_count,ZS_sum,ZS_mean,ZS_track_count,ZS_track_sum,ZS_track_mean
"538","2",2,686.837524414062,343.418762207031,1.01923475768349,7243.13473700359,7106.44400850861
"540","2",1.01923475768349,250.738494658392,246.006616992014,1.01923475768349,7344.75858164984,7206.1500319543
"545","2",1.01923475768349,381.881205710946,374.674433767233,1.01923475768349,7154.89842059266,7019.87286702648
"549","2",1.01923475768349,350.919002726243,344.296542166408,1.01923475768349,7240.25974224584,7103.62326997308
"550","2",1.01923475768349,221.330654683451,217.15375482925,1.01923475768349,7383.79498739,7244.44975186268
"633","2",1.01923475768349,245.359795899277,240.729423765854,1.01923475768349,7337.4449803353,7198.97445119687
"679","2",1.01923475768349,240.841741142303,236.296632671443,1.01923475768349,7335.95411098036,7197.51171717637
"723","2",1.01923475768349,301.912957668249,296.215327619355,1.01923475768349,7269.76734621841,7132.57401341088
"750","2",1.01923475768349,303.078770138486,297.359139151927,1.01923475768349,7266.14206219152,7129.01714488813
"751","2",2,590.5263671875,295.26318359375,2,14260.6831054688,7130.34155273438
"767","2",1.01923475768349,201.935004127584,198.124134410938,1.01923475768349,7375.02343695027,7235.8437360517
"768","2",1.01923475768349,201.065418449393,197.270959348338,1.01923475768349,7376.4770136772,7237.26988122186
"773","2",1.01923475768349,319.792758736231,313.757705303391,1.01923475768349,7246.79064406446,7110.03092215467
"776","2",3,868.173370361328,289.391123453776,3,21400.3061523438,7133.43538411458
"788","2",1.01923475768349,194.30677419156,190.639862629075,1.01923475768349,7383.74913599599,7244.40476576536
"813","2",1.01923475768349,196.466456245753,192.75878767349,1.01923475768349,7375.01916172657,7235.83954150901
"814","2",1.01923475768349,190.898851710786,187.296253656674,1.01923475768349,7385.20664124345,7245.83476531793
"822","2",2,374.734390258789,187.367195129395,2,14485.0854492188,7242.54272460938
"853","2",1.01923475768349,288.453031397755,283.009413899256,1.01923475768349,7267.3712788141,7130.22316402485
"864","2",2,448.938095092773,224.469047546387,2,14368.0014648438,7184.00073242188
"874","2",1.01923475768349,231.271498116629,226.906997012406,1.01923475768349,7319.1619551205,7181.0364589169
"876","2",2,450.041595458984,225.020797729492,2,14363.7680664062,7181.88403320312
"888","2",7,1954.87442016602,279.267774309431,7,49900.4174804688,7128.63106863839
"891","2",1.01923475768552,227.117104408582,222.831004041032,1.01923475768552,7322.04364238659,7183.86376364706
"893","2",1.01923475768552,180.331596794649,176.928421479804,1.01923475768552,7388.13897732477,7248.7117630307
"925","2",4,1100.80999755859,275.202499389648,4,28511.6694335938,7127.91735839844
"981","2",2,553.470550537109,276.735275268555,2,14244.541015625,7122.2705078125
"1001","2",1.01923475768349,325.445227670381,319.303502178487,1.01923475768349,7201.33180841844,7065.42997492115
"1006","2",1.01923475768349,170.56150502855,167.342708578935,1.01923475768349,7383.80143653065,7244.45607929667
"1041","2",2,347.95573425293,173.977867126465,2,14451.1625976562,7225.58129882812
"1063","2",1.01923475768349,169.69415974914,166.491731634839,1.01923475768349,7377.24573831528,7238.02409867008
"1079","2",1.01923475768349,299.748018331033,294.091244506121,1.01923475768349,7226.16245924424,7089.79202756762
"1100","2",1.01923475768349,299.44897868191,293.797848262646,1.01923475768349,7222.5377040362,7086.23567788398
"1113","2",33,3666.82341766357,111.11586114132,33,0,0
"1123","2",9,1136.30328369141,126.255920410156,11,80156.2690429688,7286.9335493608
"1125","2",1.01923475768349,115.608237340734,113.42650598326,1.01923475768349,6511.26770949768,6388.38860273606
"1130","2",1.01923475768349,183.214472775792,179.756892506492,1.01923475768349,7343.00672896618,7204.43123982084
"1139","2",2,230.289894104004,115.144947052002,2,14589.4697265625,7294.73486328125
"1140","2",1.01923475768349,115.727257193257,113.54327972123,1.01923475768349,7436.74272995829,7296.39827713533
"1141","2",1.01923475768349,111.953183695036,109.840429646926,1.01923475768349,1797.87806521133,1763.94893488281
"1154","2",5,554.11287689209,110.822575378418,5,36489.1430664062,7297.82861328125
"1164","2",1.01923475768349,185.295994169889,181.799131920332,1.01923475768349,7335.00418478987,7196.57971776865
"1174","2",1.01923475768349,178.08260671608,174.721873811314,1.01923475768349,7342.28118540304,7203.71938854451
"1220","2",1.01923475768349,152.372887270119,149.497342120112,1.01923475768349,7372.23034246893,7233.10335218989
"1242","2",1.01923475768552,122.168146987559,119.86261856393,1.01923475768552,7418.49234275702,7278.49230691755
